Image,Class,Contrast,Correlation,Energy,Homogeneity,Gabor Mean,Fourier Mean,Entropy Channel B,Entropy Channel S,Entropy Channel V,LBP Mean,LBP Median,LBP Mode,LBP Standard Deviation,LBP IQR,LBP Skewness,LBP Kurtosis,LBP Minimum,LBP Maximum,LBP Entropy,Mean Intensity,Intensity Variation,Mean R,Mean G,Mean B,Mean Brightness,Brightness Variation,Mean Density,Density Variation,Mean Saturation,Typical Hue,Hue Variation,Area,Extent,Aspect Ratio,Major Axis Length,Minor Axis Length,Eccentricity,Convex Area,Equivalent Diameter,Solidity,Perimeter,Circularity,Thickness
Image-63_2024-01-26_grain_0.png,3.Peach_Blossom,0.020015608771425386,0.07171235893414513,0.958823156025568,0.9899921956142873,697.5891,6.938162223386761e-08,5.9023333,5.987997,7.163427,0.03846153846152721,0.02425453364653961,0.003522187734945566,0.03448968593158583,0.04336986189161275,1.0227293250955376,-0.16285967324516015,0.003522187734945566,0.12339066152181814,1.4844575358174863,122.66691,27.77673,151.28282,150.70102,66.016884,141.22102,32.24701,0.48104668,0.10892836,0.45568725,33,8.182776,340851.5,0.7382212163215802,0.9985294117647059,681.4779663085938,646.7726440429688,0.31505489682054877,345454,658.7758409977534,0.98667695264782,2292.7850410938263,0.814795073432489,224
Image-16_2024-01-26_grain_0.png,3.Peach_Blossom,0.029280260392889376,0.06787374073499611,0.9401647508097185,0.9853598698035553,690.87964,8.596172298473497e-08,5.4502945,5.9315367,7.0589705,0.038461538461525106,0.0244447223437947,0.0038384848926947767,0.033197112229045304,0.044050522103404946,0.9368352912494896,-0.44515980775227293,0.0038384848926947767,0.11311893397802054,1.4180693652516905,102.79407,22.282389,134.5686,125.1086,48.70505,119.22715,25.471224,0.40311405,0.08738192,0.52164584,25,6.687499,286944.5,0.7616512714338801,0.9492063492063492,635.0718994140625,577.9431762695312,0.4145123375237937,294750,604.4411340604302,0.973518235793045,2149.020542860031,0.7807763228955963,210
Image-106_2024-01-26_grain_0.png,3.Peach_Blossom,0.016648217704066028,0.07526564599415508,0.9656257028068327,0.991675891147967,693.386,8.142113308719023e-08,5.92955,5.8825893,6.9634957,0.03846153846152637,0.025160020623475193,0.0038480401403390777,0.031858756014427496,0.04529699701964095,0.7889599368910534,-0.7708921300612475,0.0038480401403390777,0.10178757812398556,1.5608619960679508,129.37389,24.026033,163.20561,156.72836,68.18769,148.57143,27.609787,0.50734866,0.09421975,0.47251806,25,6.442486,317092.5,0.7640764721048865,1.1044045676998369,674.012939453125,603.1981201171875,0.446195490724213,323411,635.4012199696618,0.9804629403452573,2335.9810007810593,0.7302258814894896,223
Image-27_2024-01-26_grain_0.png,3.Peach_Blossom,0.026262991262476547,0.05495238527950856,0.9466366286151573,0.9868685043687617,689.66846,4.348018587957979e-08,5.751795,5.9486275,7.007489,0.0384615384615304,0.02412464487147823,0.003997552860721739,0.03316638800144903,0.04247347535679574,0.9350486441092966,-0.4812473975907854,0.003997552860721739,0.1113406468157624,1.4083512291280094,111.985596,23.812536,137.01755,136.18846,62.750736,128.06444,26.509626,0.43915915,0.093382485,0.4367049,28,7.808689,475992.0,0.7560997305952321,0.9271844660194175,814.1906127929688,748.2113037109375,0.3943430329455598,486792,778.4933123525079,0.97781393285017,3032.0957865715027,0.6506144187446262,273
Image-137_2024-01-26_grain_0.png,3.Peach_Blossom,0.008970633524312491,0.08579044116731277,0.9812974770075524,0.9955146832378438,685.1721,1.993030815412812e-07,5.1070695,5.7815905,6.4854918,0.03846153846152677,0.026148777211072834,0.005604829149973068,0.03304828038242869,0.0375582823204608,1.4869858497750004,1.983630297156636,0.005604829149973068,0.14534258150401963,1.274032464606375,84.60769,16.722097,109.96281,102.30855,41.551674,97.67088,18.895273,0.33179486,0.06557685,0.50855434,26,5.3802247,327968.0,0.7402137801531128,0.936046511627907,668.1970825195312,630.2516479492188,0.33219079457125494,338447,646.2057157033678,0.969037988222676,2400.6845355033875,0.7151071917541265,227
Image-93_2024-01-26_grain_0.png,3.Peach_Blossom,0.01532254444541261,0.06925886798933607,0.9684495013041474,0.9923387277772936,695.099,6.519401867709578e-08,6.002708,5.9212694,7.0701137,0.03846153846152833,0.024021755154470015,0.0036197165301256186,0.03288593044579673,0.04541625423834703,0.8590642027432653,-0.636620598634503,0.0036197165301256186,0.10886791062061452,1.5407370674616219,130.96916,25.725086,167.10257,159.64594,66.15895,151.21793,29.567972,0.5136044,0.10088269,0.49530625,28,6.0053816,378749.0,0.7206799050127106,1.0251396648044693,724.4868774414062,694.0338745117188,0.2868813958930248,388942,694.433729256362,0.9737930076978059,2588.3657746315002,0.7104116284999779,244
Image-52_2024-01-26_grain_0.png,3.Peach_Blossom,0.022635296967828254,0.07498483014799967,0.9534068697721549,0.9886823515160859,696.4924,6.728049561184094e-08,6.028234,6.0186343,7.1552744,0.0384615384615279,0.024191224299905258,0.0036750679983631883,0.03371569257473494,0.04389153746290105,0.9741679985056607,-0.29057361436961804,0.0036750679983631883,0.11941089126571115,1.4844575358174863,120.91987,28.090094,154.2517,148.6376,59.870213,140.19673,32.588146,0.47419536,0.110157244,0.50355273,28,6.2487383,363261.5,0.6949447122742577,1.0083333333333333,729.9658203125,649.979736328125,0.45513021505028406,375444,680.0874259092079,0.9675517520588957,2552.9759460687637,0.7003833127300988,237
Image-99_2024-01-26_grain_0.png,3.Peach_Blossom,0.02472450852580442,0.08925604233487856,0.9487391992290194,0.9876377457370977,696.2105,7.91453198970803e-08,5.7315617,5.799366,7.108924,0.03846153846152603,0.022946473317482924,0.0033658276347047654,0.03563985893529951,0.04401765362043293,1.0391373906496304,-0.2246303620455481,0.0033658276347047654,0.12280259307754246,1.3903886285085092,115.954956,25.168272,145.39403,144.49567,57.975266,134.90094,29.50303,0.45472535,0.098699115,0.4966975,28,6.4554763,308323.0,0.7331981032916546,1.1190864600326265,666.1160888671875,591.8035278320312,0.4589946630613855,316743,626.5532987315441,0.9734169342337479,2250.0571192502975,0.7652946914900841,216
Image-58_2024-01-26_grain_0.png,3.Peach_Blossom,0.02007400126874876,0.07041115481467518,0.9587344770583561,0.9899629993656255,696.20935,6.06940933857391e-08,5.958662,6.001356,7.1670284,0.03846153846152802,0.024987990457495723,0.00382405545287406,0.03280553646289402,0.0444135950734972,0.8812537831562806,-0.5804289698474672,0.00382405545287406,0.10963016037146543,1.4713883791409168,120.02513,27.4732,149.50446,147.75247,62.818565,138.59384,31.931208,0.47068697,0.10773805,0.472999,28,6.5940323,367297.0,0.7543271995399655,0.8891891891891892,736.75634765625,643.3765258789062,0.48726260682479455,383472,683.8545642624541,0.9578196061250887,2670.909931778908,0.6470066719016802,239
Image-134_2024-01-26_grain_1.png,3.Peach_Blossom,0.027125923890052032,0.05780288578809105,0.9448198190284944,0.986437038054974,696.77716,7.529861830213523e-08,5.8729925,5.8513927,7.16815,0.038461538461528125,0.023840547198850197,0.003621484970030433,0.03318945876328179,0.04524505471181382,0.8757186649084914,-0.6043863290138285,0.003621484970030433,0.11141708062099563,1.5377765497067126,116.93712,26.538492,150.15828,143.29938,57.353714,135.5524,30.005447,0.45857695,0.10407252,0.50940394,25,6.833869,371113.0,0.7249575120626672,0.984743411927878,699.2574462890625,684.78173828125,0.20242166850519566,381809,687.3978085252385,0.9719859929964982,2594.934316277504,0.6925693906242966,243
Image-105_2024-01-26_grain_0.png,3.Peach_Blossom,0.013021040600814372,0.05234920991181589,0.9734081765246059,0.9934894796995929,691.3838,1.6421883320512112e-07,5.4546943,5.9509397,6.7723746,0.03846153846152626,0.02969128300484869,0.00546735926230141,0.03031464432723077,0.039946944720320635,1.116588944031412,0.5701483354194123,0.00546735926230141,0.12482269953636133,1.4643326072111573,94.73035,22.306067,124.44356,114.06601,45.681496,109.373055,25.110731,0.37149158,0.08747477,0.5193627,24,6.6961436,314068.5,0.734335069010103,0.9848254931714719,663.0911865234375,625.2094116210938,0.33315820096312504,323266,632.3641624536098,0.9715481986970482,2495.3535838127136,0.6338260132398453,217
Image-24_2024-01-26_grain_1.png,3.Peach_Blossom,0.024942089980751037,0.06881833360961627,0.9488946007063723,0.9875289550096246,678.2371,9.733611289723406e-08,5.8433127,5.949265,6.9235544,0.03846153846152598,0.022957238837677918,0.00388973777522445,0.033132160571865,0.044487050968851444,0.8573939831166109,-0.7047611825273146,0.00388973777522445,0.10620703526713765,1.5608619960679508,116.61085,22.286175,149.8625,142.10916,57.860878,134.8231,25.145723,0.45729747,0.08739678,0.5055581,25,6.0919905,306486.0,0.70525293619528,0.9075144508670521,697.1754760742188,582.7420654296875,0.5489405520591849,343837,624.6839961994393,0.8913700387102028,4029.48264837265,0.23720395461524874,230
Image-60_2024-01-26_grain_0.png,3.Peach_Blossom,0.03129978717301653,0.06724692824573483,0.9361235410171116,0.9843501064134917,676.7164,5.981998966661375e-08,5.6741734,5.8030834,6.7548523,0.03846153846152924,0.024075582927934033,0.0037192360229088357,0.03147476644596871,0.04636883222697731,0.738403157823252,-0.8892592128165027,0.0037192360229088357,0.09830094179105699,1.5857708352080968,118.09529,19.673677,149.18214,146.11356,58.99018,137.09901,22.26357,0.4631188,0.077151686,0.5018085,28,6.0899725,414920.0,0.7293501379880117,0.9496124031007752,749.0403442382812,697.1881103515625,0.36559224657463746,491370,726.8373627583503,0.8444145959256771,5383.344689130783,0.1799160290318548,289
Image-141_2024-01-26_grain_0.png,3.Peach_Blossom,0.016508933614359907,0.07067488362529536,0.9659991785322367,0.9917455331928201,688.67053,8.26786339572917e-08,5.962816,5.922495,7.166065,0.0384615384615279,0.024264342574794328,0.003908866318966811,0.03357346429783538,0.044249931375228035,0.9389861407531483,-0.4391855999785501,0.003908866318966811,0.1150013724951647,1.4083512291280094,126.80871,27.501225,161.00139,154.827,64.59778,146.387,31.863134,0.49728918,0.107847944,0.48791313,28,6.066607,362886.5,0.7191909642947742,1.1689497716894977,811.6026611328125,616.2535400390625,0.6507355070810088,394765,679.7363033195569,0.9192468937215812,3282.7059569358826,0.42317179098570185,227
Image-90_2024-01-26_grain_0.png,3.Peach_Blossom,0.012067243937241512,0.05380475550868125,0.9753249356011242,0.9939663780313793,683.7355,1.9536683411408344e-07,5.1327,5.7356825,6.5976224,0.03846153846152638,0.030045189472319468,0.005391961361272279,0.029760316843302992,0.04114550130793811,1.2420996119593877,1.3470750173378185,0.005391961361272279,0.13093013688731808,1.357694579432704,89.93366,17.787073,120.49014,106.43178,42.879055,103.390205,20.181599,0.3526811,0.06975322,0.5226419,24,5.219453,317471.0,0.7508615001099788,1.2023608768971332,702.081787109375,577.5615234375,0.568560617531029,323195,635.7803327460018,0.9822893299710701,2262.1992576122284,0.7795647855036727,220
Image-60_2024-01-26_grain_1.png,3.Peach_Blossom,0.033814024286347166,0.06593544716644167,0.9311284142298952,0.9830929878568264,683.02454,6.661457986992826e-08,5.452761,5.629284,6.568633,0.038461538461527583,0.025290651647772812,0.003814096039446118,0.03071378719292324,0.04397449164233902,0.7220117275945983,-0.881721032302528,0.003814096039446118,0.10038225780911414,1.5608619960679508,121.94497,17.01945,153.92416,151.03738,60.873356,141.62184,19.083317,0.47821558,0.066742934,0.50128853,28,5.735816,352169.0,0.736659680125172,0.9700854700854701,730.7379150390625,626.3602905273438,0.5150479948637302,379865,669.6233995536876,0.9270898871967673,3499.090730190277,0.36145195718501083,235
Image-51_2024-01-26_grain_0.png,3.Peach_Blossom,0.02443921871812217,0.050607871536774526,0.9504160940415477,0.9877803906409389,695.4424,1.8926005729142244e-07,5.542877,5.9213505,7.105547,0.03846153846151789,0.02482476167051193,0.00438429992888645,0.032709278259241435,0.04104132470016145,0.9642750687002338,-0.44628539458962324,0.00438429992888645,0.10966631200169509,1.461670243017236,105.11831,23.835754,139.5219,127.43629,48.39676,122.039375,28.270926,0.4122287,0.09347355,0.53554773,26,6.1021385,186283.0,0.7557364944906934,0.9820359281437125,514.7841796875,461.9129333496094,0.44143273367453795,190673,487.0142524730671,0.9769762892491334,1751.6408206224442,0.7629445453328201,167
Image-24_2024-01-26_grain_0.png,3.Peach_Blossom,0.016376211398179484,0.07011770769188434,0.9662809112358695,0.9918118943009102,693.2736,6.236640525222881e-08,5.994513,5.9248266,7.1636643,0.03846153846152838,0.024178015602432823,0.0035691169187138682,0.03367190752454166,0.04419926783312565,0.9215431695683942,-0.47484773719117834,0.0035691169187138682,0.11484590167368135,1.4948643283001337,127.76072,27.681805,160.35782,156.55276,66.37159,147.4098,32.011024,0.5010224,0.10855611,0.47748637,28,6.919501,380528.5,0.7517132048635461,1.0788321167883212,725.3734741210938,683.16796875,0.33613032640834634,387193,696.063168181419,0.9827876537024172,2499.21144926548,0.7655808289445795,243
